rating_average,winner,count
1346,white,13
1346,black,10
1346,draw,0
1292,white,15
1292,black,12
1292,draw,2
1498,white,17
1498,black,18
1498,draw,0
1446,white,30
1446,black,13
1446,draw,2
1496,white,31
1496,black,22
1496,draw,7
1126,white,3
1126,black,2
1126,draw,1
1472,white,18
1472,black,15
1472,draw,2
1760,white,12
1760,black,15
1760,draw,0
1416,white,17
1416,black,23
1416,draw,0
1295,white,3
1295,black,5
1295,draw,0
1326,white,15
1326,black,9
1326,draw,4
1624,white,9
1624,black,22
1624,draw,2
1658,white,19
1658,black,20
1658,draw,2
1494,white,26
1494,black,27
1494,draw,1
1118,white,8
1118,black,5
1118,draw,0
1197,white,5
1197,black,8
1197,draw,0
1297,white,4
1297,black,4
1297,draw,1
1385,white,5
1385,black,12
1385,draw,1
1081,white,4
1081,black,1
1081,draw,0
1206,white,7
1206,black,6
1206,draw,0
1268,white,7
1268,black,16
1268,draw,0
1148,white,4
1148,black,4
1148,draw,0
1452,white,30
1452,black,26
1452,draw,1
1183,white,1
1183,black,5
1183,draw,0
1106,white,2
1106,black,3
1106,draw,0
1112,white,7
1112,black,4
1112,draw,0
1101,white,1
1101,black,2
1101,draw,0
1111,white,2
1111,black,0
1111,draw,0
1260,white,14
1260,black,15
1260,draw,0
1198,white,15
1198,black,4
1198,draw,1
1404,white,25
1404,black,22
1404,draw,0
1274,white,5
1274,black,7
1274,draw,0
1239,white,6
1239,black,7
1239,draw,0
1714,white,9
1714,black,18
1714,draw,3
1092,white,2
1092,black,5
1092,draw,1
1110,white,11
1110,black,4
1110,draw,1
1710,white,17
1710,black,21
1710,draw,2
1160,white,7
1160,black,2
1160,draw,0
1707,white,12
1707,black,3
1707,draw,1
1342,white,13
1342,black,12
1342,draw,3
1454,white,30
1454,black,12
1454,draw,2
1475,white,9
1475,black,10
1475,draw,1
1428,white,11
1428,black,18
1428,draw,1
1376,white,19
1376,black,21
1376,draw,0
1393,white,8
1393,black,5
1393,draw,1
1570,white,23
1570,black,20
1570,draw,3
1592,white,26
1592,black,13
1592,draw,3
1593,white,5
1593,black,5
1593,draw,0
1664,white,31
1664,black,23
1664,draw,0
1578,white,16
1578,black,10
1578,draw,2
1527,white,8
1527,black,6
1527,draw,0
1502,white,34
1502,black,31
1502,draw,3
1449,white,7
1449,black,9
1449,draw,1
1524,white,26
1524,black,18
1524,draw,4
1604,white,26
1604,black,27
1604,draw,1
1398,white,17
1398,black,29
1398,draw,0
1571,white,8
1571,black,9
1571,draw,1
1727,white,3
1727,black,4
1727,draw,0
1568,white,29
1568,black,22
1568,draw,1
1650,white,28
1650,black,13
1650,draw,1
1842,white,10
1842,black,16
1842,draw,0
1602,white,22
1602,black,15
1602,draw,1
1535,white,8
1535,black,7
1535,draw,1
1517,white,10
1517,black,7
1517,draw,0
1567,white,8
1567,black,7
1567,draw,0
1548,white,24
1548,black,20
1548,draw,4
1478,white,21
1478,black,22
1478,draw,4
1576,white,14
1576,black,22
1576,draw,5
1470,white,21
1470,black,12
1470,draw,0
1712,white,11
1712,black,19
1712,draw,0
1334,white,20
1334,black,12
1334,draw,0
1648,white,27
1648,black,13
1648,draw,2
1473,white,3
1473,black,5
1473,draw,1
1500,white,95
1500,black,92
1500,draw,10
1730,white,18
1730,black,7
1730,draw,4
1741,white,9
1741,black,6
1741,draw,0
1840,white,16
1840,black,19
1840,draw,3
1790,white,13
1790,black,15
1790,draw,1
1557,white,9
1557,black,4
1557,draw,1
1770,white,12
1770,black,12
1770,draw,1
1662,white,12
1662,black,17
1662,draw,0
1740,white,16
1740,black,14
1740,draw,3
1736,white,10
1736,black,8
1736,draw,1
1616,white,18
1616,black,21
1616,draw,1
1690,white,18
1690,black,14
1690,draw,2
1582,white,17
1582,black,17
1582,draw,4
1778,white,12
1778,black,18
1778,draw,0
1762,white,22
1762,black,13
1762,draw,0
1821,white,8
1821,black,3
1821,draw,0
1752,white,15
1752,black,11
1752,draw,4
1826,white,11
1826,black,15
1826,draw,3
1756,white,11
1756,black,21
1756,draw,5
1841,white,7
1841,black,3
1841,draw,0
1871,white,2
1871,black,9
1871,draw,1
1316,white,26
1316,black,18
1316,draw,5
1232,white,5
1232,black,7
1232,draw,1
1068,white,2
1068,black,5
1068,draw,0
1276,white,15
1276,black,10
1276,draw,0
1245,white,8
1245,black,5
1245,draw,0
1176,white,7
1176,black,7
1176,draw,2
1280,white,10
1280,black,16
1280,draw,0
1296,white,12
1296,black,9
1296,draw,2
1256,white,18
1256,black,9
1256,draw,1
1358,white,12
1358,black,17
1358,draw,2
1204,white,7
1204,black,7
1204,draw,2
1247,white,2
1247,black,4
1247,draw,0
1341,white,6
1341,black,6
1341,draw,0
1308,white,21
1308,black,9
1308,draw,1
1300,white,25
1300,black,22
1300,draw,1
1294,white,8
1294,black,12
1294,draw,0
1250,white,13
1250,black,9
1250,draw,0
1284,white,4
1284,black,11
1284,draw,2
1324,white,11
1324,black,11
1324,draw,1
1222,white,14
1222,black,5
1222,draw,0
1217,white,3
1217,black,1
1217,draw,1
1227,white,3
1227,black,0
1227,draw,0
1388,white,19
1388,black,10
1388,draw,0
1216,white,6
1216,black,8
1216,draw,0
1352,white,19
1352,black,14
1352,draw,0
1427,white,7
1427,black,9
1427,draw,0
1210,white,8
1210,black,5
1210,draw,0
1212,white,11
1212,black,7
1212,draw,0
1286,white,16
1286,black,12
1286,draw,1
1864,white,9
1864,black,11
1864,draw,0
1852,white,6
1852,black,13
1852,draw,4
1848,white,9
1848,black,7
1848,draw,3
1884,white,16
1884,black,11
1884,draw,10
1814,white,15
1814,black,10
1814,draw,2
1886,white,15
1886,black,15
1886,draw,0
1870,white,12
1870,black,12
1870,draw,0
1850,white,10
1850,black,12
1850,draw,1
1838,white,12
1838,black,11
1838,draw,5
1856,white,10
1856,black,11
1856,draw,0
1824,white,10
1824,black,12
1824,draw,1
1827,white,2
1827,black,10
1827,draw,0
1877,white,6
1877,black,3
1877,draw,0
1916,white,4
1916,black,15
1916,draw,0
1854,white,17
1854,black,17
1854,draw,3
1868,white,12
1868,black,12
1868,draw,2
1862,white,16
1862,black,13
1862,draw,3
1846,white,12
1846,black,12
1846,draw,2
1834,white,16
1834,black,13
1834,draw,4
1881,white,2
1881,black,4
1881,draw,0
1859,white,3
1859,black,2
1859,draw,1
1858,white,14
1858,black,9
1858,draw,2
1813,white,10
1813,black,10
1813,draw,0
1275,white,3
1275,black,8
1275,draw,0
1306,white,18
1306,black,11
1306,draw,1
1298,white,23
1298,black,7
1298,draw,0
1299,white,2
1299,black,8
1299,draw,3
1312,white,27
1312,black,11
1312,draw,0
1136,white,5
1136,black,9
1136,draw,2
1380,white,20
1380,black,21
1380,draw,1
1400,white,18
1400,black,11
1400,draw,1
1698,white,14
1698,black,19
1698,draw,1
1360,white,19
1360,black,12
1360,draw,1
1386,white,19
1386,black,24
1386,draw,2
1550,white,15
1550,black,24
1550,draw,0
1394,white,14
1394,black,17
1394,draw,2
1353,white,6
1353,black,5
1353,draw,0
1382,white,24
1382,black,22
1382,draw,2
1246,white,13
1246,black,17
1246,draw,0
1523,white,5
1523,black,17
1523,draw,1
1371,white,2
1371,black,3
1371,draw,2
1415,white,6
1415,black,4
1415,draw,0
1461,white,12
1461,black,12
1461,draw,2
1426,white,14
1426,black,19
1426,draw,0
1319,white,7
1319,black,8
1319,draw,0
1477,white,6
1477,black,4
1477,draw,1
1233,white,1
1233,black,0
1233,draw,0
1230,white,7
1230,black,9
1230,draw,0
1595,white,9
1595,black,9
1595,draw,0
1429,white,6
1429,black,3
1429,draw,0
1354,white,18
1354,black,15
1354,draw,1
1667,white,3
1667,black,9
1667,draw,0
1313,white,3
1313,black,5
1313,draw,0
1370,white,21
1370,black,18
1370,draw,1
1368,white,13
1368,black,19
1368,draw,1
1330,white,14
1330,black,13
1330,draw,2
1349,white,5
1349,black,2
1349,draw,3
1372,white,27
1372,black,18
1372,draw,1
1417,white,6
1417,black,9
1417,draw,2
1430,white,14
1430,black,18
1430,draw,0
1364,white,18
1364,black,15
1364,draw,1
1619,white,11
1619,black,10
1619,draw,0
1314,white,17
1314,black,13
1314,draw,2
1336,white,11
1336,black,13
1336,draw,3
1537,white,8
1537,black,7
1537,draw,0
1598,white,19
1598,black,18
1598,draw,2
1476,white,18
1476,black,24
1476,draw,1
1552,white,17
1552,black,21
1552,draw,1
1594,white,22
1594,black,16
1594,draw,1
1572,white,19
1572,black,14
1572,draw,1
1636,white,16
1636,black,13
1636,draw,2
1614,white,19
1614,black,12
1614,draw,2
1534,white,27
1534,black,22
1534,draw,3
1484,white,20
1484,black,21
1484,draw,1
1626,white,18
1626,black,22
1626,draw,2
1774,white,15
1774,black,18
1774,draw,0
1739,white,7
1739,black,7
1739,draw,0
1682,white,22
1682,black,14
1682,draw,1
1580,white,18
1580,black,21
1580,draw,1
1628,white,22
1628,black,11
1628,draw,0
1447,white,6
1447,black,4
1447,draw,1
1520,white,19
1520,black,24
1520,draw,3
1514,white,31
1514,black,17
1514,draw,2
1480,white,23
1480,black,17
1480,draw,4
1465,white,7
1465,black,8
1465,draw,1
1792,white,10
1792,black,16
1792,draw,4
1776,white,17
1776,black,13
1776,draw,0
1414,white,23
1414,black,26
1414,draw,3
1835,white,1
1835,black,2
1835,draw,1
1544,white,39
1544,black,28
1544,draw,2
1519,white,8
1519,black,6
1519,draw,0
1474,white,30
1474,black,25
1474,draw,3
1333,white,5
1333,black,1
1333,draw,0
1516,white,27
1516,black,22
1516,draw,2
1558,white,26
1558,black,24
1558,draw,1
1574,white,24
1574,black,15
1574,draw,2
1562,white,28
1562,black,18
1562,draw,4
1674,white,14
1674,black,15
1674,draw,3
1609,white,9
1609,black,5
1609,draw,0
1618,white,16
1618,black,19
1618,draw,0
1540,white,19
1540,black,24
1540,draw,2
1588,white,25
1588,black,25
1588,draw,1
1559,white,5
1559,black,8
1559,draw,1
1832,white,13
1832,black,16
1832,draw,3
1678,white,27
1678,black,24
1678,draw,2
1607,white,7
1607,black,4
1607,draw,3
1623,white,9
1623,black,8
1623,draw,1
1613,white,5
1613,black,6
1613,draw,2
1657,white,4
1657,black,2
1657,draw,1
1615,white,9
1615,black,6
1615,draw,0
1561,white,5
1561,black,9
1561,draw,0
1642,white,18
1642,black,16
1642,draw,2
1634,white,20
1634,black,17
1634,draw,2
1644,white,19
1644,black,16
1644,draw,4
1652,white,19
1652,black,23
1652,draw,1
1670,white,13
1670,black,17
1670,draw,0
1641,white,7
1641,black,8
1641,draw,1
1632,white,24
1632,black,10
1632,draw,1
1608,white,18
1608,black,20
1608,draw,2
1601,white,10
1601,black,2
1601,draw,2
1788,white,19
1788,black,10
1788,draw,0
1579,white,15
1579,black,8
1579,draw,1
1490,white,29
1490,black,22
1490,draw,1
1702,white,14
1702,black,18
1702,draw,3
1606,white,25
1606,black,24
1606,draw,3
1758,white,16
1758,black,14
1758,draw,1
1786,white,16
1786,black,14
1786,draw,2
1956,white,9
1956,black,10
1956,draw,3
1045,white,0
1045,black,1
1045,draw,0
918,white,1
918,black,1
918,draw,0
1008,white,2
1008,black,3
1008,draw,0
1060,white,4
1060,black,2
1060,draw,1
1034,white,2
1034,black,1
1034,draw,0
1052,white,1
1052,black,4
1052,draw,1
1086,white,4
1086,black,1
1086,draw,0
968,white,1
968,black,3
968,draw,0
1071,white,2
1071,black,2
1071,draw,1
1089,white,3
1089,black,1
1089,draw,1
1099,white,2
1099,black,2
1099,draw,0
1007,white,0
1007,black,2
1007,draw,0
1070,white,4
1070,black,4
1070,draw,1
1169,white,2
1169,black,3
1169,draw,1
1202,white,11
1202,black,7
1202,draw,0
1337,white,8
1337,black,5
1337,draw,0
1536,white,16
1536,black,23
1536,draw,3
1482,white,24
1482,black,20
1482,draw,3
1522,white,12
1522,black,19
1522,draw,2
1458,white,18
1458,black,24
1458,draw,0
1422,white,17
1422,black,17
1422,draw,0
1423,white,3
1423,black,5
1423,draw,0
1390,white,29
1390,black,19
1390,draw,4
1448,white,15
1448,black,21
1448,draw,2
1356,white,19
1356,black,18
1356,draw,1
1413,white,8
1413,black,5
1413,draw,0
1158,white,7
