rating_diff,player,king_pos,checker,check_square_count
white,4,queen,36,328
white,4,queen,21,87
white,4,queen,20,45
white,4,queen,18,15
white,4,queen,53,177
white,4,queen,12,248
white,4,queen,33,241
white,4,queen,35,100
white,4,queen,52,152
white,4,queen,39,476
white,4,queen,57,36
white,4,queen,49,37
white,4,queen,56,66
white,4,queen,50,35
white,4,queen,58,50
white,4,queen,44,129
white,4,queen,24,450
white,4,queen,17,31
white,4,queen,28,110
white,4,queen,55,78
white,4,queen,46,77
white,4,queen,54,36
white,4,queen,51,112
white,4,queen,60,58
white,4,queen,59,322
white,4,queen,45,59
white,4,queen,42,171
white,4,queen,3,13
white,4,queen,37,61
white,4,queen,1,2
white,4,queen,38,45
white,4,queen,61,36
white,4,queen,30,61
white,4,queen,29,19
white,4,queen,62,63
white,4,queen,27,26
white,4,queen,22,17
white,4,queen,63,74
white,4,queen,31,23
white,4,queen,48,12
white,4,queen,26,46
white,4,queen,47,46
white,4,queen,19,13
white,4,queen,25,18
white,4,queen,40,16
white,4,queen,41,7
white,4,queen,10,11
white,4,queen,43,29
white,4,queen,11,4
white,4,queen,34,29
white,4,queen,9,3
white,4,queen,16,4
white,4,queen,13,3
white,4,queen,32,11
white,4,queen,23,15
white,4,queen,15,2
white,4,queen,2,1
white,4,queen,0,1
white,4,rook,56,13
white,4,rook,47,11
white,4,rook,45,9
white,4,rook,40,7
white,4,rook,51,17
white,4,rook,55,21
white,4,rook,2,12
white,4,rook,50,16
white,4,rook,59,24
white,4,rook,5,10
white,4,rook,3,37
white,4,rook,54,23
white,4,rook,53,13
white,4,rook,22,3
white,4,rook,33,5
white,4,rook,49,8
white,4,rook,62,13
white,4,rook,7,8
white,4,rook,57,12
white,4,rook,1,4
white,4,rook,58,19
white,4,rook,63,19
white,4,rook,61,22
white,4,rook,52,12
white,4,rook,19,5
white,4,rook,18,3
white,4,rook,36,9
white,4,rook,60,13
white,4,rook,43,10
white,4,rook,29,2
white,4,rook,42,5
white,4,rook,6,14
white,4,rook,31,5
white,4,rook,48,6
white,4,rook,35,9
white,4,rook,46,8
white,4,rook,21,3
white,4,rook,34,4
white,4,rook,28,2
white,4,rook,39,5
white,4,rook,38,2
white,4,rook,41,1
white,4,rook,32,6
white,4,rook,20,4
white,4,rook,27,5
white,4,rook,37,3
white,4,rook,26,2
white,4,rook,24,2
white,4,rook,16,2
white,4,rook,30,1
white,4,rook,12,4
white,4,rook,44,5
white,4,rook,23,2
white,4,rook,13,1
white,4,rook,11,3
white,4,rook,15,1
white,4,bishop,34,22
white,4,bishop,30,19
white,4,bishop,33,1226
white,4,bishop,53,326
white,4,bishop,51,493
white,4,bishop,42,581
white,4,bishop,55,51
white,4,bishop,35,37
white,4,bishop,43,14
white,4,bishop,26,111
white,4,bishop,16,21
white,4,bishop,25,16
white,4,bishop,46,45
white,4,bishop,2,6
white,4,bishop,38,76
white,4,bishop,39,49
white,4,bishop,45,39
white,4,bishop,24,18
white,4,bishop,37,17
white,4,bishop,32,7
white,4,bishop,44,59
white,4,bishop,47,27
white,4,bishop,40,11
white,4,bishop,49,4
white,4,bishop,23,9
white,4,bishop,57,2
white,4,bishop,52,12
white,4,bishop,29,24
white,4,bishop,48,2
white,4,bishop,41,12
white,4,bishop,59,3
white,4,bishop,20,8
white,4,bishop,61,1
white,4,bishop,12,2
white,4,bishop,17,6
white,4,bishop,60,3
white,4,bishop,19,12
white,4,bishop,11,6
white,4,bishop,9,3
white,4,bishop,54,6
white,4,bishop,36,10
white,4,bishop,50,7
white,4,bishop,21,4
white,4,bishop,31,1
white,4,bishop,28,5
white,4,bishop,27,2
white,4,bishop,10,3
white,4,bishop,5,1
white,4,bishop,58,1
white,4,bishop,14,1
white,4,bishop,18,1
white,4,pawn,26,6
white,4,pawn,51,20
white,4,pawn,43,19
white,4,pawn,53,34
white,4,pawn,45,23
white,4,pawn,55,8
white,4,pawn,50,1
white,4,pawn,42,5
white,4,pawn,36,10
white,4,pawn,44,13
white,4,pawn,35,13
white,4,pawn,27,7
white,4,pawn,25,5
white,4,pawn,52,2
white,4,pawn,34,6
white,4,pawn,16,3
white,4,pawn,31,5
white,4,pawn,46,12
white,4,pawn,30,10
white,4,pawn,32,2
white,4,pawn,41,2
white,4,pawn,38,5
white,4,pawn,29,4
white,4,pawn,37,3
white,4,pawn,19,1
white,4,pawn,39,2
white,4,pawn,54,2
white,4,pawn,49,1
white,4,pawn,18,3
white,4,pawn,47,3
white,4,pawn,28,2
white,4,pawn,21,4
white,4,pawn,40,1
white,4,pawn,48,1
white,4,pawn,17,1
white,4,pawn,23,2
white,4,knight,52,61
white,4,knight,36,80
white,4,knight,50,247
white,4,knight,45,335
white,4,knight,46,26
white,4,knight,44,54
white,4,knight,43,225
white,4,knight,35,54
white,4,knight,48,12
white,4,knight,38,61
white,4,knight,28,10
white,4,knight,53,74
white,4,knight,37,28
white,4,knight,54,31
white,4,knight,26,13
white,4,knight,42,25
white,4,knight,34,19
white,4,knight,60,5
white,4,knight,31,5
white,4,knight,61,4
white,4,knight,41,16
white,4,knight,21,8
white,4,knight,11,2
white,4,knight,49,9
white,4,knight,58,4
white,4,knight,59,2
white,4,knight,29,4
white,4,knight,27,5
white,4,knight,62,5
white,4,knight,55,7
white,4,knight,33,10
white,4,knight,51,9
white,4,knight,19,1
white,4,knight,47,12
white,4,knight,30,1
white,4,knight,39,9
white,4,knight,17,1
white,4,knight,63,3
white,4,knight,16,3
white,4,knight,32,2
white,4,knight,18,3
white,4,knight,24,1
white,4,knight,56,2
white,4,knight,15,1
white,4,knight,25,1
white,6,knight,48,29
white,6,knight,31,15
white,6,knight,45,603
white,6,knight,50,125
white,6,knight,51,63
white,6,knight,38,105
white,6,knight,44,116
white,6,knight,52,310
white,6,knight,34,52
white,6,knight,43,238
white,6,knight,27,29
white,6,knight,46,72
white,6,knight,61,25
white,6,knight,53,121
white,6,knight,39,31
white,6,knight,42,61
white,6,knight,35,84
white,6,knight,47,116
white,6,knight,33,36
white,6,knight,37,107
white,6,knight,36,143
white,6,knight,54,45
white,6,knight,60,24
white,6,knight,63,4
white,6,knight,21,12
white,6,knight,28,36
white,6,knight,40,5
white,6,knight,57,7
white,6,knight,22,8
white,6,knight,30,10
white,6,knight,26,13
white,6,knight,41,35
white,6,knight,20,9
white,6,knight,25,5
white,6,knight,10,3
white,6,knight,4,1
white,6,knight,19,10
white,6,knight,13,1
white,6,knight,24,7
white,6,knight,29,28
white,6,knight,55,23
white,6,knight,58,13
white,6,knight,49,15
white,6,knight,59,20
white,6,knight,23,2
white,6,knight,12,4
white,6,knight,62,3
white,6,knight,18,10
white,6,knight,17,3
white,6,knight,56,2
white,6,knight,11,3
white,6,knight,32,1
white,6,knight,14,2
white,6,knight,16,1
white,6,knight,3,1
white,6,bishop,50,18
white,6,bishop,37,47
white,6,bishop,42,219
white,6,bishop,38,87
white,6,bishop,44,110
white,6,bishop,25,23
white,6,bishop,33,183
white,6,bishop,45,75
white,6,bishop,36,62
white,6,bishop,35,109
white,6,bishop,51,146
white,6,bishop,55,144
white,6,bishop,19,33
white,6,bishop,53,272
white,6,bishop,32,9
white,6,bishop,29,54
white,6,bishop,22,3
white,6,bishop,21,7
white,6,bishop,34,40
white,6,bishop,12,8
white,6,bishop,26,115
white,6,bishop,39,47
white,6,bishop,49,7
white,6,bishop,16,29
white,6,bishop,17,38
white,6,bishop,61,9
white,6,bishop,52,32
white,6,bishop,54,44
white,6,bishop,30,28
white,6,bishop,9,6
white,6,bishop,18,13
white,6,bishop,47,38
white,6,bishop,43,51
white,6,bishop,41,16
white,6,bishop,46,54
white,6,bishop,8,5
white,6,bishop,40,16
white,6,bishop,27,29
white,6,bishop,24,32
white,6,bishop,2,5
white,6,bishop,48,8
white,6,bishop,14,2
white,6,bishop,31,3
white,6,bishop,57,2
white,6,bishop,28,20
white,6,bishop,20,17
white,6,bishop,11,4
white,6,bishop,4,2
white,6,bishop,58,2
white,6,bishop,10,11
white,6,bishop,3,1
white,6,bishop,23,5
white,6,bishop,60,3
white,6,bishop,1,2
white,6,bishop,13,1
white,6,bishop,5,3
white,6,bishop,59,3
white,6,queen,57,118
white,6,queen,60,221
white,6,queen,53,258
white,6,queen,29,78
white,6,queen,30,190
white,6,queen,45,217
white,6,queen,42,156
white,6,queen,56,146
white,6,queen,46,176
white,6,queen,47,126
white,6,queen,35,239
white,6,queen,27,89
white,6,queen,10,28
white,6,queen,50,123
white,6,queen,62,90
white,6,queen,44,388
white,6,queen,39,301
white,6,queen,37,155
white,6,queen,58,190
white,6,queen,24,184
white,6,queen,55,137
white,6,queen,31,56
white,6,queen,17,118
white,6,queen,51,164
white,6,queen,59,249
white,6,queen,33,131
white,6,queen,18,79
white,6,queen,9,23
white,6,queen,36,209
white,6,queen,26,132
white,6,queen,61,128
white,6,queen,22,79
white,6,queen,25,39
white,6,queen,23,53
white,6,queen,40,45
white,6,queen,19,46
white,6,queen,20,43
white,6,queen,3,13
white,6,queen,52,134
white,6,queen,38,166
white,6,queen,54,121
white,6,queen,21,98
white,6,queen,4,31
white,6,queen,49,100
white,6,queen,34,74
white,6,queen,12,49
white,6,queen,1,6
white,6,queen,63,147
white,6,queen,43,106
white,6,queen,32,28
white,6,queen,13,6
white,6,queen,5,8
white,6,queen,48,56
white,6,queen,28,91
white,6,queen,41,30
white,6,queen,11,12
white,6,queen,8,8
white,6,queen,16,26
white,6,queen,15,4
white,6,queen,14,4
white,6,queen,2,7
white,6,queen,0,4
white,6,rook,48,79
white,6,rook,22,42
white,6,rook,59,345
white,6,rook,5,77
white,6,rook,45,71
white,6,rook,60,472
white,6,rook,61,207
white,6,rook,31,22
white,6,rook,55,48
white,6,rook,46,45
white,6,rook,56,93
white,6,rook,53,172
white,6,rook,39,30
white,6,rook,38,43
white,6,rook,35,39
white,6,rook,58,194
white,6,rook,50,126
white,6,rook,3,174
white,6,rook,26,17
white,6,rook,28,58
white,6,rook,42,63
white,6,rook,36,102
white,6,rook,37,35
white,6,rook,4,446
white,6,rook,49,121
white,6,rook,33,17
white,6,rook,24,13
white,6,rook,17,9
white,6,rook,47,40
white,6,rook,62,41
white,6,rook,44,148
white,6,rook,51,170
white,6,rook,30,22
white,6,rook,54,98
white,6,rook,52,226
white,6,rook,41,45
white,6,rook,29,27
white,6,rook,21,33
white,6,rook,32,21
white,6,rook,2,79
white,6,rook,12,12
white,6,rook,57,103
white,6,rook,34,40
white,6,rook,43,74
white,6,rook,1,36
white,6,rook,16,14
white,6,rook,20,22
white,6,rook,27,37
white,6,rook,23,12
white,6,rook,11,12
white,6,rook,63,32
white,6,rook,15,3
white,6,rook,13,9
white,6,rook,10,5
white,6,rook,14,3
white,6,rook,0,9
white,6,rook,40,34
white,6,rook,18,14
white,6,rook,19,8
white,6,rook,8,3
white,6,rook,25,9
white,6,rook,9,5
white,6,pawn,47,10
white,6,pawn,31,12
white,6,pawn,17,7
white,6,pawn,36,20
white,6,pawn,53,54
white,6,pawn,54,10
white,6,pawn,45,46
white,6,pawn,39,9
white,6,pawn,29,26
white,6,pawn,38,22
white,6,pawn,24,11
white,6,pawn,33,11
white,6,pawn,30,45
white,6,pawn,50,6
white,6,pawn,34,9
white,6,pawn,52,8
white,6,pawn,44,26
white,6,pawn,43,16
white,6,pawn,46,10
white,6,pawn,35,8
white,6,pawn,37,19
white,6,pawn,26,9
white,6,pawn,21,17
white,6,pawn,42,21
white,6,pawn,22,15
white,6,pawn,51,19
white,6,pawn,55,14
white,6,pawn,41,10
white,6,pawn,27,3
white,6,pawn,32,4
white,6,pawn,16,3
white,6,pawn,49,10
white,6,pawn,48,3
white,6,pawn,25,8
white,6,pawn,40,6
white,6,pawn,23,8
white,6,pawn,20,1
white,6,pawn,28,2
white,14,rook,53,21
white,14,rook,56,12
white,14,rook,48,22
white,14,rook,40,21
white,14,rook,4,12
white,14,rook,27,6
white,14,rook,35,9
white,14,rook,50,20
white,14,rook,43,15
white,14,rook,42,17
white,14,rook,62,16
white,14,rook,63,12
white,14,rook,54,18
white,14,rook,30,7
white,14,rook,46,18
white,14,rook,57,22
white,14,rook,60,27
white,14,rook,28,6
white,14,rook,13,10
white,14,rook,5,12
white,14,rook,39,5
white,14,rook,38,12
white,14,rook,29,22
white,14,rook,26,4
white,14,rook,21,6
white,14,rook,47,10
white,14,rook,8,3
white,14,rook,16,2
white,14,rook,58,19
white,14,rook,59,29
white,14,rook,19,2
white,14,rook,51,14
white,14,rook,49,15
white,14,rook,61,20
white,14,rook,45,26
white,14,rook,36,10
white,14,rook,37,11
white,14,rook,33,2
white,14,rook,32,7
white,14,rook,52,16
white,14,rook,7,6
white,14,rook,3,11
white,14,rook,55,7
white,14,rook,44,10
white,14,rook,20,4
white,14,rook,9,4
white,14,rook,34,6
white,14,rook,24,4
white,14,rook,10,2
white,14,rook,41,6
white,14,rook,2,7
white,14,rook,12,4
white,14,rook,31,3
white,14,rook,22,3
white,14,rook,23,3
white,14,rook,18,1
white,14,rook,11,2
white,14,rook,25,1
white,14,rook,1,2
white,14,queen,62,13
white,14,queen,18,7
white,14,queen,43,7
white,14,queen,48,7
white,14,queen,57,16
white,14,queen,49,15
white,14,queen,9,5
white,14,queen,19,5
white,14,queen,20,8
white,14,queen,28,18
white,14,queen,38,22
white,14,queen,39,16
white,14,queen,60,27
white,14,queen,35,20
white,14,queen,45,15
white,14,queen,27,8
white,14,queen,13,4
white,14,queen,53,19
white,14,queen,59,16
white,14,queen,58,21
white,14,queen,1,3
white,14,queen,10,2
white,14,queen,47,6
white,14,queen,61,15
white,14,queen,34,5
white,14,queen,37,21
white,14,queen,44,32
white,14,queen,52,10
white,14,queen,56,17
white,14,queen,17,8
white,14,queen,29,8
white,14,queen,51,14
white,14,queen,50,8
white,14,queen,42,11
white,14,queen,25,6
white,14,queen,16,1
white,14,queen,46,7
white,14,queen,26,7
white,14,queen,21,7
white,14,queen,36,13
white,14,queen,32,4
white,14,queen,33,9
white,14,queen,30,2
white,14,queen,12,7
white,14,queen,8,2
white,14,queen,55,10
white,14,queen,4,5
white,14,queen,31,4
white,14,queen,63,10
white,14,queen,54,7
white,14,queen,24,7
white,14,queen,22,3
white,14,queen,5,1
white,14,queen,40,3
white,14,queen,23,2
white,14,queen,11,2
white,14,queen,3,1
white,14,queen,0,2
white,14,queen,41,1
white,14,knight,29,6
white,14,knight,46,2
white,14,knight,61,1
white,14,knight,45,27
white,14,knight,50,8
white,14,knight,33,2
white,14,knight,20,8
white,14,knight,18,4
white,14,knight,8,1
white,14,knight,37,10
white,14,knight,60,4
white,14,knight,52,13
white,14,knight,27,5
white,14,knight,59,3
white,14,knight,34,7
white,14,knight,9,1
white,14,knight,44,7
white,14,knight,5,1
white,14,knight,36,10
white,14,knight,38,12
white,14,knight,43,10
white,14,knight,48,2
white,14,knight,26,2
white,14,knight,24,3
white,14,knight,35,6
white,14,knight,40,2
white,14,knight,53,5
white,14,knight,30,2
white,14,knight,47,5
white,14,knight,28,4
white,14,knight,54,4
white,14,knight,21,2
white,14,knight,39,2
white,14,knight,55,1
white,14,knight,41,1
white,14,knight,49,1
white,14,knight,51,1
white,14,knight,11,1
white,14,pawn,31,14
white,14,pawn,29,8
white,14,pawn,39,7
white,14,pawn,53,3
white,14,pawn,44,4
white,14,pawn,24,1
white,14,pawn,21,9
white,14,pawn,38,8
white,14,pawn,54,3
white,14,pawn,45,7
white,14,pawn,26,1
white,14,pawn,37,3
white,14,pawn,42,2
white,14,pawn,46,4
white,14,pawn,17,1
white,14,pawn,36,4
white,14,pawn,32,1
white,14,pawn,23,4
white,14,pawn,27,3
white,14,pawn,30,7
white,14,pawn,20,1
white,14,pawn,48,1
white,14,pawn,35,1
white,14,pawn,34,3
white,14,pawn,22,1
white,14,pawn,18,1
white,14,pawn,28,1
white,14,pawn,41,1
white,14,bishop,35,6
white,14,bishop,20,2
white,14,bishop,44,10
white,14,bishop,43,8
white,14,bishop,30,2
white,14,bishop,46,5
white,14,bishop,45,4
white,14,bishop,47,1
white,14,bishop,34,5
white,14,bishop,19,7
white,14,bishop,36,4
white,14,bishop,26,9
white,14,bishop,29,6
white,14,bishop,52,2
white,14,bishop,61,1
white,14,bishop,27,4
white,14,bishop,59,1
white,14,bishop,37,4
white,14,bishop,53,11
white,14,bishop,48,1
white,14,bishop,39,3
white,14,bishop,49,2
white,14,bishop,54,2
white,14,bishop,28,2
white,14,bishop,55,5
white,14,bishop,10,1
white,14,bishop,21,1
white,14,bishop,33,3
white,14,bishop,50,1
white,14,bishop,9,2
white,14,bishop,22,1
white,14,bishop,31,1
white,14,bishop,8,1
white,14,bishop,18,1
white,14,bishop,12,2
white,14,bishop,2,2
white,14,bishop,38,3
white,14,bishop,51,1
white,14,bishop,16,1
white,23,rook,53,11
white,23,rook,31,6
white,23,rook,29,7
white,23,rook,49,4
white,23,rook,57,3
white,23,rook,38,4
white,23,rook,62,4
white,23,rook,60,9
white,23,rook,32,4
white,23,rook,5,4
white,23,rook,14,2
white,23,rook,54,11
white,23,rook,55,8
white,23,rook,30,7
white,23,rook,37,5
white,23,rook,63,4
white,23,rook,45,10
white,23,rook,56,4
white,23,rook,40,8
white,23,rook,47,1
white,23,rook,59,6
white,23,rook,61,5
white,23,rook,46,4
white,23,rook,52,2
white,23,rook,43,6
white,23,rook,35,4
white,23,rook,36,3
white,23,rook,51,5
white,23,rook,6,3
white,23,rook,33,2
white,23,rook,50,9
white,23,rook,42,2
white,23,rook,28,1
white,23,rook,16,1
white,23,rook,48,5
white,23,rook,24,2
white,23,rook,13,1
white,23,rook,58,3
white,23,rook,22,1
white,23,rook,34,1
white,23,rook,39,3
white,23,rook,21,1
white,23,rook,20,1
white,23,rook,44,7
white,23,rook,18,1
white,23,rook,26,1
white,23,rook,4,1
white,23,bishop,46,1
white,23,bishop,53,2
white,23,bishop,50,1
white,23,bishop,36,1
white,23,bishop,44,4
white,23,bishop,18,1
white,23,bishop,34,2
white,23,bishop,35,1
white,23,bishop,25,2
white,23,bishop,60,2
white,23,bishop,55,1
white,23,bishop,52,2
white,23,bishop,45,1
white,23,bishop,59,1
white,23,bishop,54,1
white,23,bishop,10,1
white,23,queen,33,1
white,23,queen,29,2
white,23,queen,43,5
white,23,queen,52,6
white,23,queen,39,6
white,23,queen,38,1
white,23,queen,37,5
white,23,queen,46,5
white,23,queen,30,6
white,23,queen,45,2
white,23,queen,47,3
white,23,queen,63,5
white,23,queen,55,4
white,23,queen,10,1
white,23,queen,35,8
white,23,queen,41,4
white,23,queen,13,1
white,23,queen,14,1
white,23,queen,28,8
white,23,queen,58,4
white,23,queen,61,3
white,23,queen,44,6
white,23,queen,42,4
white,23,queen,34,3
white,23,queen,53,3
white,23,queen,60,6
white,23,queen,27,5
white,23,queen,51,3
white,23,queen,36,3
white,23,queen,48,4
white,23,queen,57,3
white,23,queen,54,3
white,23,queen,56,2
white,23,queen,59,1
white,23,queen,22,2
white,23,queen,62,3
white,23,queen,49,2
white,23,queen,21,1
white,23,queen,19,1
white,23,queen,26,1
white,23,queen,18,2
white,23,queen,5,1
white,23,knight,47,2
white,23,knight,27,3
white,23,knight,30,1
white,23,knight,42,1
white,23,knight,53,1
white,23,knight,38,1
white,23,knight,61,3
white,23,knight,37,1
white,23,knight,28,1
white,23,knight,17,2
white,23,knight,32,1
white,23,knight,52,3
white,23,knight,11,2
white,23,knight,45,3
white,23,knight,36,1
white,23,knight,12,1
white,23,knight,14,1
white,23,knight,31,1
white,23,knight,46,1
white,23,knight,21,2
white,23,knight,60,1
white,23,knight,54,1
white,23,knight,63,1
white,23,knight,51,1
white,23,pawn,37,5
white,23,pawn,39,1
white,23,pawn,36,1
white,23,pawn,29,2
white,23,pawn,46,2
white,23,pawn,38,3
white,23,pawn,22,1
white,23,pawn,30,6
white,23,pawn,31,2
white,23,pawn,33,1
white,13,queen,57,7
white,13,queen,25,3
white,13,queen,63,12
white,13,queen,49,5
white,13,queen,42,6
white,13,queen,44,13
white,13,queen,52,9
white,13,queen,4,2
white,13,queen,39,5
white,13,queen,53,9
white,13,queen,54,6
white,13,queen,51,10
white,13,queen,43,11
white,13,queen,26,7
white,13,queen,62,12
white,13,queen,36,12
white,13,queen,35,15
white,13,queen,41,4
white,13,queen,27,9
white,13,queen,33,5
white,13,queen,32,4
white,13,queen,17,3
white,13,queen,60,9
white,13,queen,61,7
white,13,queen,20,4
white,13,queen,28,7
white,13,queen,45,14
white,13,queen,18,6
white,13,queen,50,8
white,13,queen,38,2
white,13,queen,58,10
white,13,queen,37,16
white,13,queen,16,2
white,13,queen,29,4
white,13,queen,55,4
white,13,queen,56,6
white,13,queen,19,6
white,13,queen,34,7
white,13,queen,30,6
white,13,queen,47,6
white,13,queen,22,4
white,13,queen,31,1
white,13,queen,21,9
white,13,queen,46,6
white,13,queen,3,3
white,13,queen,59,13
white,13,queen,23,3
white,13,queen,12,2
white,13,queen,48,1
white,13,queen,9,1
white,13,queen,10,2
white,13,queen,24,1
white,13,queen,14,1
white,13,queen,11,1
white,13,rook,21,8
white,13,rook,7,7
white,13,rook,61,14
white,13,rook,3,7
white,13,rook,60,24
white,13,rook,20,9
white,13,rook,11,5
white,13,rook,59,17
white,13,rook,6,13
white,13,rook,50,10
white,13,rook,48,5
white,13,rook,22,7
white,13,rook,40,13
white,13,rook,33,8
white,13,rook,10,5
white,13,rook,46,9
white,13,rook,38,4
white,13,rook,53,11
white,13,rook,42,9
white,13,rook,45,7
white,13,rook,31,3
white,13,rook,51,19
white,13,rook,54,18
white,13,rook,4,16
white,13,rook,27,6
white,13,rook,29,3
white,13,rook,12,8
white,13,rook,41,7
white,13,rook,35,9
white,13,rook,43,12
white,13,rook,36,12
white,13,rook,47,8
white,13,rook,39,7
white,13,rook,63,8
white,13,rook,52,23
white,13,rook,24,7
white,13,rook,16,4
