rating_diff,player,piece,count
309,white,pawn,6
309,white,rook,13
309,white,bishop,4
309,white,knight,3
309,white,queen,16
309,white,king,0
309,black,pawn,7
309,black,rook,6
309,black,bishop,4
309,black,knight,15
309,black,queen,12
309,black,king,0
61,white,pawn,18
61,white,rook,59
61,white,bishop,36
61,white,knight,17
61,white,queen,49
61,white,king,1
61,black,pawn,13
61,black,rook,49
61,black,bishop,38
61,black,knight,32
61,black,queen,74
61,black,king,1
4,white,pawn,27
4,white,rook,72
4,white,bishop,51
4,white,knight,53
4,white,queen,114
4,white,king,1
4,black,pawn,25
4,black,rook,68
4,black,bishop,51
4,black,knight,61
4,black,queen,121
4,black,king,1
15,white,pawn,22
15,white,rook,117
15,white,bishop,43
15,white,knight,62
15,white,queen,100
15,white,king,1
15,black,pawn,17
15,black,rook,86
15,black,bishop,47
15,black,knight,32
15,black,queen,100
15,black,king,0
54,white,pawn,17
54,white,rook,76
54,white,bishop,36
54,white,knight,39
54,white,queen,82
54,white,king,0
54,black,pawn,23
54,black,rook,69
54,black,bishop,22
54,black,knight,25
54,black,queen,112
54,black,king,0
97,white,pawn,5
97,white,rook,28
97,white,bishop,27
97,white,knight,19
97,white,queen,73
97,white,king,1
97,black,pawn,6
97,black,rook,33
97,black,bishop,32
97,black,knight,27
97,black,queen,48
97,black,king,0
47,white,pawn,8
47,white,rook,64
47,white,bishop,29
47,white,knight,40
47,white,queen,107
47,white,king,0
47,black,pawn,15
47,black,rook,60
47,black,bishop,31
47,black,knight,37
47,black,queen,79
47,black,king,0
172,white,pawn,1
172,white,rook,5
172,white,bishop,4
172,white,knight,12
172,white,queen,16
172,white,king,0
172,black,pawn,1
172,black,rook,16
172,black,bishop,12
172,black,knight,7
172,black,queen,10
172,black,king,0
109,white,pawn,7
109,white,rook,52
109,white,bishop,21
109,white,knight,11
109,white,queen,49
109,white,king,0
109,black,pawn,5
109,black,rook,46
109,black,bishop,15
109,black,knight,15
109,black,queen,42
109,black,king,1
486,white,pawn,0
486,white,rook,4
486,white,bishop,2
486,white,knight,1
486,white,queen,10
486,white,king,0
