rating_diff,player,square,count
309,white,27,24
309,white,26,15
309,white,35,17
309,white,44,3
309,white,21,42
309,white,18,22
309,white,29,19
309,white,20,12
309,white,19,16
309,white,23,11
309,white,11,19
309,white,6,12
309,white,16,5
309,white,25,11
309,white,33,9
309,white,42,7
309,white,2,8
309,white,12,19
309,white,40,6
309,white,0,3
309,white,22,9
309,white,41,5
309,white,30,10
309,white,14,14
309,white,36,13
309,white,38,15
309,white,13,13
309,white,49,7
309,white,57,4
309,white,15,8
309,white,7,8
309,white,3,10
309,white,4,5
309,white,37,5
309,white,50,4
309,white,56,3
309,white,17,8
309,white,32,3
309,white,47,4
309,white,5,7
309,white,31,9
309,white,39,2
309,white,55,1
309,white,63,3
309,white,9,2
309,white,28,16
309,white,51,2
309,white,60,1
309,white,10,2
309,white,24,6
309,white,34,4
309,white,43,7
309,white,52,2
309,white,45,4
309,white,59,3
309,white,1,5
309,white,53,1
309,white,61,1
309,white,62,1
309,white,8,3
309,white,48,1
309,white,46,2
309,black,35,23
309,black,42,20
309,black,44,18
309,black,25,8
309,black,32,10
309,black,45,28
309,black,37,18
309,black,19,13
309,black,51,16
309,black,62,11
309,black,43,16
309,black,41,12
309,black,26,10
309,black,11,12
309,black,34,11
309,black,28,22
309,black,59,11
309,black,53,3
309,black,38,18
309,black,58,5
309,black,52,10
309,black,49,6
309,black,33,8
309,black,36,19
309,black,47,14
309,black,30,15
309,black,18,16
309,black,10,8
309,black,2,5
309,black,27,11
309,black,20,10
309,black,29,9
309,black,21,8
309,black,22,5
309,black,13,3
309,black,14,5
309,black,3,1
309,black,56,4
309,black,8,2
309,black,46,10
309,black,60,7
309,black,15,3
309,black,23,1
309,black,63,1
309,black,39,2
309,black,57,4
309,black,55,1
309,black,31,3
309,black,5,2
309,black,54,9
309,black,40,1
309,black,12,2
309,black,24,2
309,black,16,2
309,black,0,1
309,black,9,3
309,black,50,1
309,black,7,1
309,black,6,2
309,black,17,1
309,black,4,2
309,black,61,1
309,black,1,1
61,white,27,169
61,white,28,129
61,white,29,77
61,white,36,109
61,white,26,101
61,white,20,101
61,white,11,98
61,white,24,61
61,white,18,157
61,white,22,82
61,white,21,188
61,white,33,74
61,white,43,38
61,white,31,57
61,white,39,26
61,white,23,48
61,white,37,62
61,white,1,31
61,white,25,60
61,white,47,17
61,white,30,53
61,white,14,39
61,white,38,80
61,white,0,21
61,white,45,55
61,white,5,39
61,white,2,52
61,white,13,30
61,white,46,22
61,white,52,29
61,white,42,49
61,white,19,96
61,white,35,102
61,white,10,38
61,white,6,79
61,white,3,45
61,white,8,15
61,white,17,77
61,white,40,32
61,white,32,33
61,white,49,24
61,white,48,20
61,white,16,47
61,white,50,32
61,white,56,8
61,white,51,22
61,white,58,6
61,white,12,72
61,white,60,14
61,white,4,54
61,white,55,18
61,white,41,24
61,white,54,20
61,white,62,7
61,white,34,56
61,white,61,9
61,white,57,8
61,white,9,26
61,white,53,20
61,white,44,35
61,white,7,13
61,white,15,15
61,white,63,10
61,white,59,11
61,black,42,146
61,black,36,143
61,black,45,164
61,black,25,74
61,black,35,144
61,black,44,118
61,black,26,53
61,black,31,32
61,black,59,49
61,black,34,121
61,black,40,56
61,black,32,55
61,black,41,70
61,black,47,50
61,black,43,103
61,black,62,77
61,black,60,59
61,black,37,82
61,black,52,92
61,black,48,13
61,black,46,75
61,black,51,100
61,black,24,32
61,black,18,53
61,black,33,59
61,black,20,30
61,black,10,27
61,black,2,15
61,black,30,62
61,black,27,122
61,black,11,26
61,black,15,24
61,black,21,41
61,black,53,25
61,black,49,19
61,black,28,91
61,black,38,45
61,black,58,59
61,black,63,26
61,black,56,9
61,black,8,23
61,black,39,42
61,black,23,22
61,black,3,24
61,black,5,13
61,black,54,45
61,black,0,14
61,black,29,28
61,black,50,36
61,black,19,31
61,black,57,32
61,black,4,16
61,black,17,20
61,black,22,24
61,black,14,14
61,black,7,15
61,black,12,20
61,black,16,25
61,black,61,34
61,black,55,17
61,black,13,20
61,black,9,23
61,black,6,7
61,black,1,7
4,white,28,173
4,white,19,101
4,white,20,115
4,white,12,97
4,white,11,91
4,white,24,79
4,white,33,86
4,white,42,66
4,white,26,140
4,white,18,175
4,white,16,60
4,white,35,122
4,white,56,24
4,white,34,53
4,white,61,22
4,white,54,17
4,white,44,43
4,white,53,40
4,white,63,17
4,white,39,44
4,white,55,19
4,white,21,235
4,white,30,86
4,white,47,27
4,white,3,84
4,white,38,89
4,white,45,64
4,white,27,196
4,white,43,30
4,white,50,37
4,white,6,110
4,white,29,114
4,white,17,94
4,white,2,61
4,white,4,67
4,white,23,83
4,white,32,33
4,white,36,139
4,white,25,68
4,white,9,35
4,white,48,25
4,white,51,36
4,white,41,33
4,white,1,41
4,white,40,43
4,white,5,53
4,white,7,28
4,white,37,62
4,white,14,44
4,white,60,20
4,white,22,87
4,white,52,30
4,white,10,39
4,white,31,61
4,white,8,18
4,white,0,15
4,white,49,29
4,white,57,17
4,white,62,10
4,white,46,28
4,white,13,47
4,white,59,23
4,white,15,29
4,white,58,12
4,black,36,200
4,black,43,108
4,black,42,200
4,black,33,69
4,black,32,65
4,black,34,158
4,black,40,74
4,black,24,29
4,black,16,23
4,black,26,66
4,black,35,158
4,black,44,116
4,black,52,143
4,black,45,215
4,black,46,90
4,black,54,61
4,black,47,88
4,black,39,55
4,black,38,70
4,black,37,108
4,black,25,79
4,black,27,147
4,black,62,104
4,black,50,48
4,black,21,52
4,black,28,101
4,black,10,28
4,black,59,79
4,black,19,53
4,black,3,26
4,black,4,20
4,black,51,124
4,black,60,58
4,black,58,51
4,black,41,74
4,black,18,53
4,black,9,34
4,black,57,43
4,black,53,41
4,black,63,28
4,black,49,42
4,black,55,32
4,black,61,41
4,black,48,18
4,black,30,78
4,black,31,26
4,black,22,23
4,black,12,30
4,black,14,14
4,black,7,14
4,black,17,22
4,black,29,74
4,black,0,14
4,black,11,29
4,black,20,54
