rating_diff,player,promote_to,count
54,white,rook,0
54,white,bishop,0
54,white,knight,0
54,white,queen,10
54,black,rook,0
54,black,bishop,0
54,black,knight,0
54,black,queen,12
172,white,rook,1
172,white,bishop,0
172,white,knight,0
172,white,queen,2
172,black,rook,0
172,black,bishop,0
172,black,knight,0
172,black,queen,1
206,white,rook,0
206,white,bishop,0
206,white,knight,0
206,white,queen,4
206,black,rook,0
206,black,bishop,0
206,black,knight,0
206,black,queen,3
263,white,rook,0
263,white,bishop,0
263,white,knight,0
263,white,queen,1
263,black,rook,0
263,black,bishop,0
263,black,knight,0
263,black,queen,1
157,white,rook,0
157,white,bishop,0
157,white,knight,0
157,white,queen,4
157,black,rook,0
157,black,bishop,0
157,black,knight,0
157,black,queen,3
222,white,rook,1
222,white,bishop,0
222,white,knight,0
222,white,queen,2
222,black,rook,0
222,black,bishop,0
222,black,knight,0
222,black,queen,6
259,white,rook,0
259,white,bishop,0
259,white,knight,0
259,white,queen,5
259,black,rook,0
259,black,bishop,0
259,black,knight,0
259,black,queen,3
66,white,rook,0
66,white,bishop,0
66,white,knight,0
66,white,queen,6
66,black,rook,0
66,black,bishop,0
66,black,knight,0
66,black,queen,5
149,white,rook,0
149,white,bishop,0
149,white,knight,0
149,white,queen,3
149,black,rook,0
149,black,bishop,0
149,black,knight,0
149,black,queen,7
73,white,rook,0
73,white,bishop,0
73,white,knight,0
73,white,queen,1
73,black,rook,0
73,black,bishop,0
73,black,knight,0
73,black,queen,7
34,white,rook,1
34,white,bishop,0
34,white,knight,0
34,white,queen,17
34,black,rook,0
34,black,bishop,0
34,black,knight,0
34,black,queen,9
11,white,rook,0
11,white,bishop,3
11,white,knight,0
11,white,queen,5
11,black,rook,0
11,black,bishop,0
11,black,knight,0
11,black,queen,7
252,white,rook,0
252,white,bishop,0
252,white,knight,0
252,white,queen,0
252,black,rook,0
252,black,bishop,0
252,black,knight,0
252,black,queen,4
3,white,rook,0
3,white,bishop,0
3,white,knight,0
3,white,queen,15
3,black,rook,0
3,black,bishop,0
3,black,knight,0
3,black,queen,7
67,white,rook,0
67,white,bishop,0
67,white,knight,0
67,white,queen,6
67,black,rook,0
67,black,bishop,0
67,black,knight,0
67,black,queen,3
23,white,rook,0
23,white,bishop,0
23,white,knight,0
23,white,queen,8
23,black,rook,0
23,black,bishop,0
23,black,knight,0
23,black,queen,11
31,white,rook,0
31,white,bishop,0
31,white,knight,0
31,white,queen,6
31,black,rook,0
31,black,bishop,0
31,black,knight,0
31,black,queen,8
30,white,rook,0
30,white,bishop,0
30,white,knight,0
30,white,queen,7
30,black,rook,0
30,black,bishop,0
30,black,knight,0
30,black,queen,10
27,white,rook,0
27,white,bishop,0
27,white,knight,0
27,white,queen,10
27,black,rook,0
27,black,bishop,0
27,black,knight,0
27,black,queen,8
72,white,rook,0
72,white,bishop,0
72,white,knight,0
72,white,queen,2
72,black,rook,0
72,black,bishop,0
72,black,knight,0
72,black,queen,6
7,white,rook,0
7,white,bishop,0
7,white,knight,0
7,white,queen,7
7,black,rook,0
7,black,bishop,0
7,black,knight,0
7,black,queen,7
26,white,rook,0
26,white,bishop,0
26,white,knight,0
26,white,queen,12
26,black,rook,0
26,black,bishop,0
26,black,knight,0
26,black,queen,11
16,white,rook,1
16,white,bishop,0
16,white,knight,0
16,white,queen,13
16,black,rook,0
16,black,bishop,0
16,black,knight,0
16,black,queen,11
337,white,rook,0
337,white,bishop,0
337,white,knight,0
337,white,queen,2
337,black,rook,0
337,black,bishop,0
337,black,knight,0
337,black,queen,7
56,white,rook,0
56,white,bishop,0
56,white,knight,0
56,white,queen,12
56,black,rook,0
56,black,bishop,0
56,black,knight,0
56,black,queen,11
142,white,rook,0
142,white,bishop,0
142,white,knight,0
142,white,queen,1
142,black,rook,0
142,black,bishop,0
142,black,knight,0
142,black,queen,7
517,white,rook,0
517,white,bishop,0
517,white,knight,0
517,white,queen,0
517,black,rook,0
517,black,bishop,0
517,black,knight,0
517,black,queen,4
205,white,rook,0
205,white,bishop,0
205,white,knight,0
205,white,queen,4
205,black,rook,0
205,black,bishop,0
205,black,knight,0
205,black,queen,5
69,white,rook,0
69,white,bishop,0
69,white,knight,0
69,white,queen,14
69,black,rook,0
69,black,bishop,0
69,black,knight,0
69,black,queen,2
484,white,rook,0
484,white,bishop,0
484,white,knight,0
484,white,queen,1
484,black,rook,0
484,black,bishop,0
484,black,knight,0
484,black,queen,8
166,white,rook,0
166,white,bishop,0
166,white,knight,0
166,white,queen,3
166,black,rook,0
166,black,bishop,0
166,black,knight,0
166,black,queen,7
404,white,rook,0
404,white,bishop,0
404,white,knight,0
404,white,queen,2
404,black,rook,0
404,black,bishop,0
404,black,knight,0
404,black,queen,0
376,white,rook,0
376,white,bishop,0
376,white,knight,0
376,white,queen,2
376,black,rook,0
376,black,bishop,0
376,black,knight,0
376,black,queen,3
2,white,rook,0
2,white,bishop,1
2,white,knight,0
2,white,queen,11
2,black,rook,0
2,black,bishop,0
2,black,knight,0
2,black,queen,14
10,white,rook,0
10,white,bishop,0
10,white,knight,1
10,white,queen,5
10,black,rook,0
10,black,bishop,0
10,black,knight,0
10,black,queen,8
49,white,rook,0
49,white,bishop,0
49,white,knight,0
49,white,queen,7
49,black,rook,0
49,black,bishop,0
49,black,knight,0
49,black,queen,11
1,white,rook,0
1,white,bishop,0
1,white,knight,0
1,white,queen,12
1,black,rook,0
1,black,bishop,0
1,black,knight,0
1,black,queen,13
