rate_diff,winner,count
309,white,6
309,black,1
309,draw,0
61,white,31
61,black,24
61,draw,3
-4,white,24
-4,black,25
-4,draw,8
-15,white,29
-15,black,39
-15,draw,5
54,white,32
54,black,13
54,draw,4
248,white,12
248,black,3
248,draw,2
97,white,27
97,black,11
97,draw,0
-695,white,1
-695,black,2
-695,draw,0
47,white,18
47,black,26
47,draw,3
172,white,13
172,black,3
172,draw,1
109,white,21
109,black,6
109,draw,2
-486,white,0
-486,black,6
-486,draw,0
-555,white,1
-555,black,2
-555,draw,0
-226,white,3
-226,black,5
-226,draw,0
-47,white,22
-47,black,22
-47,draw,5
-206,white,6
-206,black,13
-206,draw,2
406,white,7
406,black,1
406,draw,0
-582,white,0
-582,black,1
-582,draw,0
26,white,22
26,black,22
26,draw,1
201,white,26
201,black,4
201,draw,0
-310,white,1
-310,black,8
-310,draw,0
-141,white,8
-141,black,9
-141,draw,0
746,white,1
746,black,0
746,draw,1
290,white,4
290,black,3
290,draw,2
-100,white,9
-100,black,15
-100,draw,3
-71,white,19
-71,black,17
-71,draw,0
322,white,13
322,black,4
322,draw,0
198,white,9
198,black,5
198,draw,1
184,white,9
184,black,6
184,draw,0
-481,white,0
-481,black,1
-481,draw,0
447,white,4
447,black,0
447,draw,0
-856,white,0
-856,black,2
-856,draw,0
591,white,3
591,black,0
591,draw,0
-522,white,1
-522,black,9
-522,draw,1
522,white,7
522,black,1
522,draw,0
1471,white,1
1471,black,0
1471,draw,0
229,white,14
229,black,3
229,draw,1
263,white,9
263,black,3
263,draw,0
1465,white,1
1465,black,0
1465,draw,0
365,white,6
365,black,0
365,draw,0
1458,white,2
1458,black,0
1458,draw,0
359,white,4
359,black,1
359,draw,0
-93,white,12
-93,black,23
-93,draw,0
34,white,28
34,black,26
34,draw,2
-28,white,34
-28,black,24
-28,draw,0
163,white,21
163,black,9
163,draw,2
59,white,28
59,black,18
59,draw,1
-372,white,1
-372,black,7
-372,draw,0
-6,white,32
-6,black,31
-6,draw,2
-27,white,24
-27,black,28
-27,draw,0
358,white,2
358,black,2
358,draw,0
50,white,23
50,black,24
50,draw,2
181,white,20
181,black,1
181,draw,2
-35,white,18
-35,black,21
-35,draw,3
-54,white,21
-54,black,28
-54,draw,3
83,white,16
83,black,15
83,draw,1
228,white,8
228,black,6
228,draw,0
27,white,28
27,black,24
27,draw,5
-381,white,0
-381,black,4
-381,draw,1
48,white,21
48,black,17
48,draw,5
256,white,6
256,black,1
256,draw,0
42,white,26
42,black,23
42,draw,0
-157,white,10
-157,black,9
-157,draw,3
141,white,12
141,black,9
141,draw,1
-526,white,3
-526,black,5
-526,draw,0
208,white,14
208,black,6
208,draw,0
116,white,20
116,black,4
116,draw,0
-131,white,19
-131,black,9
-131,draw,0
-294,white,2
-294,black,7
-294,draw,0
129,white,22
129,black,16
129,draw,1
10,white,35
10,black,20
10,draw,1
70,white,28
70,black,13
70,draw,1
-50,white,20
-50,black,21
-50,draw,1
17,white,35
17,black,31
17,draw,5
-139,white,3
-139,black,22
-139,draw,1
121,white,22
121,black,5
121,draw,3
53,white,26
53,black,13
53,draw,1
143,white,8
143,black,9
143,draw,0
-331,white,1
-331,black,12
-331,draw,0
-401,white,1
-401,black,12
-401,draw,0
-271,white,6
-271,black,6
-271,draw,0
56,white,28
56,black,13
56,draw,2
0,white,95
0,black,95
0,draw,13
31,white,24
31,black,19
31,draw,3
-14,white,38
-14,black,28
-14,draw,1
203,white,15
203,black,5
203,draw,1
222,white,9
222,black,4
222,draw,0
338,white,9
338,black,3
338,draw,1
5,white,36
5,black,32
5,draw,3
-29,white,22
-29,black,25
-29,draw,3
259,white,15
259,black,3
259,draw,2
9,white,27
9,black,20
9,draw,5
118,white,20
118,black,6
118,draw,3
373,white,7
373,black,2
373,draw,0
35,white,19
35,black,21
35,draw,2
-66,white,24
-66,black,16
-66,draw,3
11,white,29
11,black,26
11,draw,2
-102,white,13
-102,black,9
-102,draw,0
62,white,16
62,black,12
62,draw,2
-234,white,3
-234,black,12
-234,draw,2
330,white,5
330,black,9
330,draw,0
781,white,2
781,black,0
781,draw,0
25,white,26
25,black,25
25,draw,9
294,white,8
294,black,1
294,draw,0
149,white,6
149,black,9
149,draw,0
-70,white,11
-70,black,18
-70,draw,3
-73,white,10
-73,black,24
-73,draw,1
-121,white,7
-121,black,12
-121,draw,1
-125,white,10
-125,black,13
-125,draw,1
39,white,25
39,black,25
39,draw,0
151,white,17
151,black,12
151,draw,0
-144,white,9
-144,black,20
-144,draw,0
-32,white,24
-32,black,20
-32,draw,1
-38,white,23
-38,black,31
-38,draw,3
-136,white,13
-136,black,13
-136,draw,1
43,white,16
43,black,21
43,draw,3
-5,white,28
-5,black,33
-5,draw,5
102,white,21
102,black,14
102,draw,1
239,white,11
239,black,5
239,draw,0
325,white,7
325,black,2
325,draw,2
91,white,22
91,black,9
91,draw,4
-9,white,37
-9,black,37
-9,draw,0
-252,white,4
-252,black,8
-252,draw,2
-398,white,2
-398,black,7
-398,draw,0
-37,white,20
-37,black,23
-37,draw,1
212,white,9
212,black,7
212,draw,0
-115,white,10
-115,black,18
-115,draw,2
3,white,31
3,black,23
3,draw,4
-30,white,24
-30,black,24
-30,draw,2
-67,white,17
-67,black,16
-67,draw,5
79,white,22
79,black,12
79,draw,0
-39,white,28
-39,black,20
-39,draw,5
20,white,29
20,black,25
20,draw,5
-20,white,25
-20,black,21
-20,draw,4
-3,white,30
-3,black,20
-3,draw,4
-48,white,23
-48,black,22
-48,draw,4
29,white,22
29,black,24
29,draw,4
45,white,16
45,black,23
45,draw,2
40,white,24
40,black,15
40,draw,5
36,white,35
36,black,18
36,draw,5
-99,white,6
-99,black,13
-99,draw,3
23,white,25
23,black,18
23,draw,2
-31,white,19
-31,black,20
-31,draw,4
-25,white,35
-25,black,21
-25,draw,2
-1,white,31
-1,black,29
-1,draw,4
1,white,38
1,black,30
1,draw,2
-72,white,11
-72,black,18
-72,draw,3
68,white,22
68,black,13
68,draw,3
24,white,26
24,black,19
24,draw,2
-23,white,19
-23,black,17
-23,draw,1
7,white,27
7,black,31
7,draw,2
-26,white,20
-26,black,24
-26,draw,5
16,white,26
16,black,36
16,draw,3
12,white,37
12,black,31
12,draw,0
-337,white,2
-337,black,7
-337,draw,0
-173,white,9
-173,black,13
-173,draw,1
-819,white,0
-819,black,4
-819,draw,0
142,white,16
142,black,8
142,draw,2
517,white,4
517,black,7
517,draw,0
-22,white,32
-22,black,28
-22,draw,2
-195,white,4
-195,black,14
-195,draw,0
-521,white,0
-521,black,7
-521,draw,0
-211,white,7
-211,black,16
-211,draw,0
112,white,21
112,black,9
112,draw,0
-205,white,8
-205,black,12
-205,draw,0
69,white,16
69,black,12
69,draw,3
-69,white,12
-69,black,31
-69,draw,2
-484,white,1
-484,black,5
-484,draw,0
-166,white,10
-166,black,25
-166,draw,0
-260,white,5
-260,black,10
-260,draw,0
-404,white,0
-404,black,9
-404,draw,1
376,white,6
376,black,1
376,draw,0
-196,white,6
-196,black,8
-196,draw,0
-510,white,0
-510,black,3
-510,draw,0
-2,white,34
-2,black,33
-2,draw,3
21,white,32
21,black,25
21,draw,3
-10,white,22
-10,black,29
-10,draw,3
-49,white,18
-49,black,26
-49,draw,3
119,white,17
119,black,14
119,draw,0
-566,white,0
-566,black,5
-566,draw,0
128,white,21
128,black,9
128,draw,2
-110,white,11
-110,black,24
-110,draw,4
-81,white,19
-81,black,18
-81,draw,4
46,white,14
46,black,16
46,draw,4
-182,white,4
-182,black,13
-182,draw,1
-60,white,16
-60,black,13
-60,draw,1
87,white,24
87,black,15
87,draw,2
-11,white,35
-11,black,33
-11,draw,4
460,white,3
460,black,0
460,draw,1
113,white,19
113,black,13
113,draw,1
28,white,32
28,black,25
28,draw,3
354,white,4
354,black,0
354,draw,0
137,white,17
137,black,12
137,draw,1
-101,white,12
-101,black,24
-101,draw,3
247,white,16
247,black,1
247,draw,0
49,white,28
49,black,14
49,draw,1
-75,white,26
-75,black,14
-75,draw,4
-74,white,20
-74,black,23
-74,draw,0
155,white,7
155,black,7
155,draw,0
-233,white,7
-233,black,10
-233,draw,1
-36,white,30
-36,black,27
-36,draw,2
57,white,28
57,black,15
57,draw,1
-123,white,9
-123,black,16
-123,draw,4
-321,white,5
-321,black,4
-321,draw,2
252,white,9
252,black,4
252,draw,1
189,white,20
189,black,15
189,draw,1
-191,white,3
-191,black,9
-191,draw,1
136,white,22
136,black,7
136,draw,0
37,white,20
37,black,23
37,draw,3
-363,white,2
-363,black,3
-363,draw,0
-334,white,1
-334,black,5
-334,draw,0
331,white,6
331,black,2
331,draw,0
-394,white,1
-394,black,9
-394,draw,0
-448,white,1
-448,black,7
-448,draw,1
133,white,20
133,black,7
133,draw,0
-43,white,11
-43,black,24
-43,draw,2
14,white,34
14,black,26
14,draw,1
32,white,21
32,black,16
32,draw,1
-62,white,13
-62,black,22
-62,draw,3
-148,white,6
-148,black,20
-148,draw,3
139,white,17
139,black,4
139,draw,4
-55,white,15
-55,black,21
-55,draw,3
-130,white,10
-130,black,15
-130,draw,2
130,white,16
130,black,14
130,draw,3
105,white,15
105,black,10
105,draw,1
-105,white,10
-105,black,17
-105,draw,3
-92,white,15
-92,black,13
-92,draw,2
-84,white,13
-84,black,22
-84,draw,0
-365,white,0
-365,black,4
-365,draw,0
13,white,36
13,black,28
13,draw,2
125,white,17
125,black,7
125,draw,1
52,white,18
52,black,12
52,draw,2
-19,white,24
-19,black,22
-19,draw,6
72,white,16
72,black,16
72,draw,2
-53,white,13
-53,black,24
-53,draw,2
132,white,12
132,black,6
132,draw,1
-163,white,8
-163,black,12
-163,draw,0
-21,white,29
-21,black,26
-21,draw,3
-8,white,25
-8,black,28
-8,draw,2
